,job_position
1412,foo
1413,foo
1414,other
1415,backendengineer
1416,backendengineer
1417,foo
1418,backendengineer
1419,backendengineer
1420,other
1421,engineeringleadership
1422,foo
1423,other
1424,foo
1425,backendengineer
1426,foo
1427,datascientist
1428,dataanalyst
1429,backendengineer
1430,backendengineer
1431,foo
1432,foo
1433,backendengineer
1434,backendengineer
1435,backendengineer
1436,backendengineer
1437,fullstackengineer
1438,foo
1439,backendengineer
1440,engineeringleadership
1441,fullstackengineer
1442,securityleadership
1443,backendarchitect
1444,supportengineer
1445,engineeringintern
1446,androidengineer
1447,foo
1448,other
1449,backendengineer
1450,foo
1451,other
1452,backendengineer
1453,frontendengineer
1454,other
1455,fullstackengineer
1456,foo
1457,backendengineer
1458,dataanalyst
1459,foo
1460,androidengineer
1461,other
1462,other
1463,foo
1464,fullstackengineer
1465,foo
1466,foo
1467,backendengineer
1468,devopsengineer
1469,engineeringleadership
1470,frontendengineer
1471,foo
1472,foo
1473,fullstackengineer
1474,backendengineer
1475,fullstackengineer
1476,qaengineer
1477,frontendengineer
1478,foo
1479,backendengineer
1480,foo
1481,qaengineer
1482,frontendengineer
1483,fullstackengineer
1484,backendengineer
1485,foo
1486,supportengineer
1487,datascientist
1488,datascientist
1489,foo
1490,foo
1491,foo
1492,qaengineer
1493,backendengineer
1494,backendengineer
1495,backendengineer
1496,other
1497,other
1498,fullstackengineer
1499,backendengineer
1500,supportengineer
1501,productmanager
1502,foo
1503,other
1504,fullstackengineer
1505,fullstackengineer
1506,backendengineer
1507,backendengineer
1508,backendengineer
1509,datascientist
1510,backendengineer
1511,backendengineer
1512,other
1513,foo
1514,other
1515,fullstackengineer
1516,fullstackengineer
1517,backendengineer
1518,frontendengineer
1519,backendengineer
1520,fullstackengineer
1521,supportengineer
1522,backendengineer
1523,fullstackengineer
1524,backendengineer
1525,backendengineer
1526,frontendengineer
1527,backendengineer
1528,backendengineer
1529,dataanalyst
1530,backendengineer
1531,backendengineer
1532,backendengineer
1533,backendengineer
1534,backendengineer
1535,frontendengineer
1536,fullstackengineer
1537,supportengineer
1538,backendengineer
1539,sdet
1540,frontendengineer
1541,backendengineer
1542,fullstackengineer
1543,fullstackengineer
1544,backendengineer
1545,backendengineer
1546,fullstackengineer
